DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.BVectorMag   DefaultSC.Quaternion      
21545.00000039794         NaN                                  0 0 0 1                   
21545.00069484238         NaN                                  0 0 0 1                   
21545.00170377896         NaN                                  0 0 0 1                   
21545.00275575026         NaN                                  0 0 0 1                   
21545.00381265312         NaN                                  0 0 0 1                   
21545.00487012606         NaN                                  0 0 0 1                   
21545.00592766074         NaN                                  0 0 0 1                   
21545.00698515932         NaN                                  0 0 0 1                   
21545.00804260674         NaN                                  0 0 0 1                   
21545.00910001645         NaN                                  0 0 0 1                   
21545.01015738911         NaN                                  0 0 0 1                   
21545.0112147512          NaN                                  0 0 0 1                   
21545.01227214398         NaN                                  0 0 0 1                   
21545.0133296178          NaN                                  0 0 0 1                   
21545.01438722925         NaN                                  0 0 0 1                   
21545.01544504565         NaN                                  0 0 0 1                   
21545.01650316222         NaN                                  0 0 0 1                   
21545.0175616384          NaN                                  0 0 0 1                   
21545.01862055911         NaN                                  0 0 0 1                   
21545.01968000305         NaN                                  0 0 0 1                   
21545.02074003211         NaN                                  0 0 0 1                   
21545.02180069286         NaN                                  0 0 0 1                   
21545.02286201926         NaN                                  0 0 0 1                   
21545.02392402917         NaN                                  0 0 0 1                   
21545.02498671284         NaN                                  0 0 0 1                   
21545.02605005298         NaN                                  0 0 0 1                   
21545.0271140046          NaN                                  0 0 0 1                   
21545.02817849988         NaN                                  0 0 0 1                   
21545.02924344654         NaN                                  0 0 0 1                   
21545.03030874654         NaN                                  0 0 0 1                   
21545.03137428873         NaN                                  0 0 0 1                   
21545.03243992829         NaN                                  0 0 0 1                   
21545.03350554677         NaN                                  0 0 0 1                   
21545.03457098868         NaN                                  0 0 0 1                   
21545.0356361387          NaN                                  0 0 0 1                   
21545.03670086655         NaN                                  0 0 0 1                   
21545.03776505706         NaN                                  0 0 0 1                   
21545.03882861121         NaN                                  0 0 0 1                   
21545.03989144275         NaN                                  0 0 0 1                   
21545.04095347904         NaN                                  0 0 0 1                   
21545.04201468264         NaN                                  0 0 0 1                   
21545.04307503235         NaN                                  0 0 0 1                   
21545.04413453388         NaN                                  0 0 0 1                   
21545.04519321045         NaN                                  0 0 0 1                   
21545.04625110963         NaN                                  0 0 0 1                   
21545.04730830275         NaN                                  0 0 0 1                   
21545.04836485938         NaN                                  0 0 0 1                   
21545.04942087558         NaN                                  0 0 0 1                   
21545.05047645767         NaN                                  0 0 0 1                   
21545.05153172271         NaN                                  0 0 0 1                   
21545.05258677103         NaN                                  0 0 0 1                   
21545.05364171402         NaN                                  0 0 0 1                   
21545.0546966601          NaN                                  0 0 0 1                   
21545.05575168346         NaN                                  0 0 0 1                   
21545.05680686305         NaN                                  0 0 0 1                   
21545.05786225339         NaN                                  0 0 0 1                   
21545.05891790824         NaN                                  0 0 0 1                   
21545.05997384499         NaN                                  0 0 0 1                   
21545.06103008364         NaN                                  0 0 0 1                   
21545.0620866083          NaN                                  0 0 0 1                   
21545.06314339769         NaN                                  0 0 0 1                   
21545.06420043103         NaN                                  0 0 0 1                   
21545.06525766221         NaN                                  0 0 0 1                   
21545.06631504746         NaN                                  0 0 0 1                   
21545.06737255015         NaN                                  0 0 0 1                   
21545.06843011631         NaN                                  0 0 0 1                   
21545.06948770178         NaN                                  0 0 0 1                   
21545.07054527534         NaN                                  0 0 0 1                   
21545.07160281297         NaN                                  0 0 0 1                   
21545.07266031148         NaN                                  0 0 0 1                   
21545.07371775105         NaN                                  0 0 0 1                   
21545.07477514871         NaN                                  0 0 0 1                   
21545.07583254426         NaN                                  0 0 0 1                   
21545.07688997171         NaN                                  0 0 0 1                   
21545.07794748019         NaN                                  0 0 0 1                   
21545.07900513203         NaN                                  0 0 0 1                   
21545.0800630037          NaN                                  0 0 0 1                   
21545.08112117226         NaN                                  0 0 0 1                   
21545.08217970762         NaN                                  0 0 0 1                   
21545.08323870209         NaN                                  0 0 0 1                   
21545.08429822012         NaN                                  0 0 0 1                   
21545.0853583282          NaN                                  0 0 0 1                   
21545.08641906513         NaN                                  0 0 0 1                   
21545.08748046716         NaN                                  0 0 0 1                   
21545.0885425596          NaN                                  0 0 0 1                   
21545.08960533584         NaN                                  0 0 0 1                   
21545.09066877006         NaN                                  0 0 0 1                   
21545.0917327988          NaN                                  0 0 0 1                   
21545.09279736036         NaN                                  0 0 0 1                   
21545.09386237181         NaN                                  0 0 0 1                   
21545.0949277169          NaN                                  0 0 0 1                   
21545.09599328433         NaN                                  0 0 0 1                   
21545.09705893824         NaN                                  0 0 0 1                   
21545.09812453817         NaN                                  0 0 0 1                   
21545.09918995469         NaN                                  0 0 0 1                   
21545.1002550587          NaN                                  0 0 0 1                   
21545.10131971446         NaN                                  0 0 0 1                   
21545.10238382026         NaN                                  0 0 0 1                   
21545.10344727015         NaN                                  0 0 0 1                   
21545.10450998442         NaN                                  0 0 0 1                   
21545.10557188976         NaN                                  0 0 0 1                   
21545.10663296003         NaN                                  0 0 0 1                   
21545.10769318012         NaN                                  0 0 0 1                   
21545.10875255248         NaN                                  0 0 0 1                   
21545.1098111163          NaN                                  0 0 0 1                   
21545.110868912           NaN                                  0 0 0 1                   
21545.11192601449         NaN                                  0 0 0 1                   
21545.11298250352         NaN                                  0 0 0 1                   
21545.11403847398         NaN                                  0 0 0 1                   
21545.11509403167         NaN                                  0 0 0 1                   
21545.11614927995         NaN                                  0 0 0 1                   
21545.1172043333          NaN                                  0 0 0 1                   
21545.11825929095         NaN                                  0 0 0 1                   
21545.11931425031         NaN                                  0 0 0 1                   
21545.12036928861         NaN                                  0 0 0 1                   
21545.12142449076         NaN                                  0 0 0 1                   
21545.12247991914         NaN                                  0 0 0 1                   
21545.12353560453         NaN                                  0 0 0 1                   
21545.12459157556         NaN                                  0 0 0 1                   
21545.12564784644         NaN                                  0 0 0 1                   
21545.1267044087          NaN                                  0 0 0 1                   
21545.1277612516          NaN                                  0 0 0 1                   
21545.12881832951         NaN                                  0 0 0 1                   
21545.12987559997         NaN                                  0 0 0 1                   
21545.13093303615         NaN                                  0 0 0 1                   
21545.13199058958         NaN                                  0 0 0 1                   
21545.13304820087         NaN                                  0 0 0 1                   
21545.13410583128         NaN                                  0 0 0 1                   
21545.13516343943         NaN                                  0 0 0 1                   
21545.13622101094         NaN                                  0 0 0 1                   
21545.13727852183         NaN                                  0 0 0 1                   
21545.138335983           NaN                                  0 0 0 1                   
21545.13888928683         NaN                                  0 0 0 1                   
